,votes,user_id,name,average_stars,review_count,type
126,"{'funny': 1, 'useful': 4, 'cool': 4}",kfvcQcMouoxlw4bmQebxww,Pam,3.75,4,user
127,"{'funny': 196, 'useful': 578, 'cool': 412}",2mQpxWifARjbp7H1rehVrQ,Sal,3.649999999999999,238,user
128,"{'funny': 0, 'useful': 0, 'cool': 0}",gkLF4m_BlvFRhOuh1OGgyw,Dan,5.0,1,user
129,"{'funny': 0, 'useful': 0, 'cool': 0}",7xp8QB-6APuFbiSdEI3-4Q,Terry,5.0,1,user
130,"{'funny': 0, 'useful': 1, 'cool': 0}",YyV13Qb7TL-o1rvn_b1VGA,Aaron,5.0,1,user
131,"{'funny': 0, 'useful': 2, 'cool': 0}",Cw_f-K74pUnQs-A16itmEg,John,4.0,3,user
132,"{'funny': 0, 'useful': 4, 'cool': 0}",weBOpmQtMv8Z_L54gPs3hw,Jennifer,3.859999999999999,9,user
133,"{'funny': 1, 'useful': 1, 'cool': 1}",nVs5vkTn-rcbpVbnfl_KWw,Mychal,5.0,1,user
134,"{'funny': 1, 'useful': 3, 'cool': 0}",Uo74EZEYjOeEfsUpdS3oiw,Billy,3.5,2,user
135,"{'funny': 3, 'useful': 7, 'cool': 2}",JiJSN4Ke7om8lkkllKTR5A,Allison,3.95,21,user
136,"{'funny': 18, 'useful': 48, 'cool': 21}",AcErO3j0GFTXbdJHbuD2-Q,Ron,3.79,47,user
137,"{'funny': 3, 'useful': 7, 'cool': 3}",53AZajKCKZsf-VosN8Dmeg,Colby,4.0,5,user
138,"{'funny': 0, 'useful': 2, 'cool': 0}",1O7mOUPJCxB6e5pdyCin4g,AB,4.0,5,user
139,"{'funny': 1, 'useful': 12, 'cool': 0}",nu6xTWhL3SVrnxPgJOE73Q,Stephanie,1.8,7,user
140,"{'funny': 0, 'useful': 4, 'cool': 2}",xZJO6cRX6OHabaePvPzsXw,Sarah,4.169999999999999,6,user
141,"{'funny': 0, 'useful': 2, 'cool': 0}",v1ntgoANp9xLxf4u5iJR4Q,Tim,5.0,2,user
142,"{'funny': 1, 'useful': 3, 'cool': 2}",bbVdfdqq3_XmWTxrhqPa0Q,Chris,4.0,4,user
143,"{'funny': 20, 'useful': 116, 'cool': 23}",oe614PyMdAayDUfWEaFUUA,Barbara,3.89,88,user
144,"{'funny': 2, 'useful': 6, 'cool': 1}",Qo8UkUSL5y-MCw50eIACsQ,Daphne,3.169999999999999,18,user
145,"{'funny': 210, 'useful': 907, 'cool': 580}",sXWvDlMQspjJ1zzr3cEM7Q,Meridith,3.64,439,user
146,"{'funny': 5, 'useful': 28, 'cool': 11}",Wg4mxEGEI7Vz8VC0WCI69Q,Joe,3.62,14,user
147,"{'funny': 0, 'useful': 16, 'cool': 3}",fJH98Ok6ZlfBmsd0h_HaUQ,Anne,3.5,8,user
148,"{'funny': 0, 'useful': 3, 'cool': 2}",hkXeZdoz2uk1ZLORqYQ47w,Richard,4.12,8,user
149,"{'funny': 0, 'useful': 1, 'cool': 0}",tHE3AJdBju9VQ0fzbP72dw,Jordana,5.0,1,user
150,"{'funny': 8, 'useful': 39, 'cool': 14}",O5dNmqcrCiE7FG7VS3y-Cw,Chase,3.75,28,user
151,"{'funny': 1, 'useful': 10, 'cool': 0}",ify3N2NjFX_sjDnslizsvw,Grace,3.85,26,user
152,"{'funny': 0, 'useful': 1, 'cool': 0}",oQSK7Poz3Ex95qpsv2EUcg,Donald,5.0,1,user
153,"{'funny': 9, 'useful': 28, 'cool': 6}",SFWaDnvJtHPD0pIru1y8wg,Kathy,3.919999999999999,12,user
154,"{'funny': 5, 'useful': 3, 'cool': 1}",ThZw3MFhwjxU4bjeFL3Pcg,Kelli,4.599999999999999,5,user
155,"{'funny': 5, 'useful': 6, 'cool': 5}",ZsjBAQiO5lNa_Tzlr3_FlQ,Daniel,3.799999999999999,5,user
156,"{'funny': 43, 'useful': 209, 'cool': 91}",oFHxCaz9iIkuilTtqlzxEg,Larisa,3.93,332,user
157,"{'funny': 0, 'useful': 1, 'cool': 0}",bzE1d8iiwkswuyjqC7r11Q,Jonathan,3.33,3,user
158,"{'funny': 1, 'useful': 16, 'cool': 2}",j0KVSX1QWLgjqVoYLjLqEA,John,4.0,11,user
159,"{'funny': 3, 'useful': 12, 'cool': 4}",RD2YHSnQCy2iSN_EGo3QdA,Jason,3.669999999999999,4,user
160,"{'funny': 6, 'useful': 21, 'cool': 6}",nr5-g3HCSidJ9fBoAP39jA,Justus,3.97,29,user
161,"{'funny': 2, 'useful': 4, 'cool': 1}",9b7HeM91XY9tIFGFVi7Y5A,Jennifer,3.71,8,user
162,"{'funny': 1, 'useful': 3, 'cool': 1}",AIvZS_tQ7y-ADNji1KM9Bg,Cathy,3.0,4,user
163,"{'funny': 4, 'useful': 8, 'cool': 1}",iSjr5iewkapr08l5SPAi0A,Jennifer,1.6,7,user
164,"{'funny': 3, 'useful': 11, 'cool': 3}",dlcDKOOlGeQ7Cu-6tAiHYg,carrie,3.93,30,user
165,"{'funny': 6, 'useful': 16, 'cool': 5}",T2u4D_GmKo5KbDiXLRTcyA,lenoxx,3.43,15,user
166,"{'funny': 2, 'useful': 2, 'cool': 2}",AdNbFzW14o88wNo7dTKz6g,George,3.5,3,user
167,"{'funny': 3, 'useful': 9, 'cool': 1}",RxX5_RP3hSGpMhGY6y6OiQ,Joe,4.849999999999999,13,user
168,"{'funny': 0, 'useful': 0, 'cool': 0}",yf8gN_pRFE4c3zs1D72l4g,Staria,4.0,2,user
169,"{'funny': 35, 'useful': 140, 'cool': 58}",bWNjCQyTJttofo3dKtTTPQ,Tricia,3.75,198,user
170,"{'funny': 0, 'useful': 1, 'cool': 0}",PyhTmEpgkP1CMGJP-bB9DA,Richard,5.0,1,user
171,"{'funny': 2036, 'useful': 3391, 'cool': 2331}",4CJGQajGdc8JwFneADetcQ,Jeff,3.669999999999999,1357,user
172,"{'funny': 2, 'useful': 2, 'cool': 0}",3sfS66tTc2BLmcU959dSsg,Simon,4.15,14,user
173,"{'funny': 2, 'useful': 35, 'cool': 4}",p7CS-HdINxXUVxn9Ss09VA,Micah,4.0,19,user
174,"{'funny': 0, 'useful': 4, 'cool': 2}",LFLqZT3zTP5nJ0kH_ydVkg,Amy,2.75,4,user
175,"{'funny': 52, 'useful': 97, 'cool': 43}",VbkrQcb615YaVp7bFyt5fQ,Tanya,3.939999999999999,31,user
176,"{'funny': 2, 'useful': 11, 'cool': 6}",JK0mzJWym6AFSrw849bmrQ,Steven,4.179999999999999,11,user
177,"{'funny': 4, 'useful': 11, 'cool': 4}",ngU1vdwjT2lGOsdTq1JK5A,Steve,4.219999999999999,9,user
178,"{'funny': 1, 'useful': 31, 'cool': 11}",23zT_daU4O5VcFnajw8MTg,Casey,4.0,22,user
179,"{'funny': 9, 'useful': 22, 'cool': 3}",SgLoVOP_KUVQuDDI3PpkFA,Jessica,3.879999999999999,17,user
180,"{'funny': 0, 'useful': 0, 'cool': 0}",-d12fQpJ6XhN-hPzxeStCg,Kelly,5.0,1,user
181,"{'funny': 1, 'useful': 1, 'cool': 0}",TbZ9KAHJGtmV73thmvjygQ,Jennifer,4.5,2,user
182,"{'funny': 1, 'useful': 0, 'cool': 0}",83UjWE-VBOoOws1oI4JhfA,Paula,5.0,3,user
183,"{'funny': 1, 'useful': 14, 'cool': 4}",4k3-pyX966dnSMuvuBvLjA,Rachel,3.85,13,user
184,"{'funny': 0, 'useful': 0, 'cool': 1}",eT1fp_Js2GD5Z-FIt8CC1w,Pam,5.0,2,user
185,"{'funny': 0, 'useful': 8, 'cool': 1}",nTFnSwqOpyj5d4IifRa8XQ,alex,3.669999999999999,3,user
186,"{'funny': 0, 'useful': 1, 'cool': 0}",8Kvmut7tOYkAxa5KPBT3FA,Mary,3.5,4,user
187,"{'funny': 4, 'useful': 7, 'cool': 4}",vh85A2GSrIovm3W7CG4R0g,e.,4.75,4,user
188,"{'funny': 1, 'useful': 6, 'cool': 1}",4QA8ilDzVnF4j__I6E4T6w,Becky,2.799999999999999,5,user
189,"{'funny': 0, 'useful': 1, 'cool': 0}",OIEmHXKytEoQfnOu2Ozmgw,P,4.75,5,user
190,"{'funny': 2, 'useful': 19, 'cool': 2}",out_4MBKTtOqlXlHOlXwFg,Anne,3.5,16,user
191,"{'funny': 0, 'useful': 0, 'cool': 0}",J-H-q2-4AyFM1ILE4MARAA,Terrence,5.0,1,user
192,"{'funny': 0, 'useful': 9, 'cool': 3}",gQm2p1gmBPQ4f1sHxgRlbw,Conrad,5.0,6,user
193,"{'funny': 0, 'useful': 2, 'cool': 0}",TGZknBtL5dyiuoThHSKmMg,Nicole,1.0,2,user
194,"{'funny': 1, 'useful': 0, 'cool': 0}",GIBTgFC8amRa295ozndJIQ,Charles,4.0,2,user
195,"{'funny': 0, 'useful': 3, 'cool': 1}",lzutD82kSsk55M7XEId6GA,Patty,4.5,2,user
196,"{'funny': 0, 'useful': 3, 'cool': 1}",N56tE_bSNVAgk59avW-TFA,Mary,4.83,6,user
197,"{'funny': 1, 'useful': 5, 'cool': 3}",Qx6Kq92S72-tik94Hfn0UA,Madinah,5.0,2,user
198,"{'funny': 1, 'useful': 1, 'cool': 0}",zGsGvKgD-5ZtXNzTagjbkQ,Sue,1.0,2,user
199,"{'funny': 7, 'useful': 30, 'cool': 11}",vz05hlteS6XvnczIInsnqw,Corey,3.73,40,user
200,"{'funny': 0, 'useful': 7, 'cool': 1}",umHlSGfbPXti-VOinu7fkQ,Catherine,4.0,5,user
201,"{'funny': 1, 'useful': 5, 'cool': 3}",8McyBeTdW7D4BG87Tv41WQ,Carol,4.58,13,user
202,"{'funny': 0, 'useful': 1, 'cool': 0}",ew-YiTn2fJH0IyjXSltKBQ,Michelle,5.0,2,user
203,"{'funny': 0, 'useful': 0, 'cool': 0}",g5hVihQ30Nn-XoswvlvMvQ,Nanette,2.33,4,user
204,"{'funny': 2, 'useful': 3, 'cool': 3}",lw_Lj1XjPjOYrDIkDEcDzg,Kimberly,4.2,10,user
205,"{'funny': 0, 'useful': 0, 'cool': 0}",6dDBJ5G-C5lcuLeUAwwdvQ,Evan,4.0,1,user
206,"{'funny': 2, 'useful': 4, 'cool': 1}",VFcEaZC5ojcgA0RIcukggA,B,4.0,3,user
207,"{'funny': 1, 'useful': 4, 'cool': 0}",cKFd4AkPGpOkEy9zR_7O5w,Alyssa,3.919999999999999,13,user
208,"{'funny': 0, 'useful': 0, 'cool': 0}",sv6o8BdnMM8UB-KTH6N7kw,Cheryl,5.0,1,user
209,"{'funny': 349, 'useful': 776, 'cool': 402}",O8tNWUq6vPmvq2YTVD8hlA,Jill,4.12,258,user
210,"{'funny': 0, 'useful': 1, 'cool': 0}",F98yAgA43QQR0woD80Voaw,Jean,2.5,2,user
211,"{'funny': 0, 'useful': 1, 'cool': 1}",chHirosDitN1crv1thxA6w,Amy,5.0,2,user
212,"{'funny': 3, 'useful': 29, 'cool': 4}",ShQZSh_0Be48sy-JQOb5dg,Erin,3.669999999999999,43,user
213,"{'funny': 4, 'useful': 8, 'cool': 1}",jd_A8MB3M33Xy9Dd7UJ7_Q,Cassandra,3.7,10,user
214,"{'funny': 0, 'useful': 1, 'cool': 0}",Igu8LjeJunbmmsZycWZuEA,Jay,2.33,3,user
215,"{'funny': 3, 'useful': 5, 'cool': 1}",F5ACaWQvyUQ2HH7-YIkdkw,Charles,1.75,4,user
216,"{'funny': 0, 'useful': 0, 'cool': 0}",aNtYQW1GoDXlLzEsEmoR3w,Mia,1.0,1,user
217,"{'funny': 0, 'useful': 0, 'cool': 0}",e1a1i8aFuFeSn2dJbKycmw,Ovi,3.0,1,user
218,"{'funny': 4, 'useful': 14, 'cool': 5}",sNek-w3xKlwit6q_JpnT7Q,Jamy,3.83,23,user
219,"{'funny': 0, 'useful': 1, 'cool': 0}",SH9lxmHsiUxQ-2Ic7A0Bcw,Alex,4.5,5,user
